PO,Item_Code,Item_Name,DC_File,DC_Match,Item_Match
FPO-31506.pdf,99-76-9999999-81,PLUGS WITH CABLE GLAND 63A 5PIN 6H FOR HEAVY DUTY 50 60HZ IP44 PALAZZOLI CEE SERIES HIGH PERFORMANCE PLUGS AND SOCKETS,FPO 31506 invoice value $1800 3.txt,1,1
PO-30407.pdf,01-42-1151015-01,"FILTER,OIL:",None,0,0
LPO-35240.pdf,09-03-6794535-01,"IMPELLER,PUMP:",None,0,0
PO-34887.pdf,06-67-1122112-01,PLATE:,None,0,0
PO-34887.pdf,06-67-1122112-02,PLATE:,None,0,0
PO-34887.pdf,06-67-1122112-03,"IMPELLER,PUMP:",None,0,0
PO-34887.pdf,06-67-1122112-04,"CASING,PUMP:",None,0,0
PO-33436.pdf,99-89-0110001-16,PIPE:,None,0,0
PO-33436.pdf,99-89-1800021-09,"ADAPTER,TUBE TO PIPE:",None,0,0
PO-35617.pdf,99-22-2200040-71,CABINET:,DC 19710  35617 (FFCL- LOCK PAD).txt,1,1
PO-35617.pdf,99-22-2200040-70,"LOCK,PAD:",None,0,0
PO-35617.pdf,99-22-2200040-71,CABINET:,None,0,0
FPO-30030.pdf,99-06-1850010-19,NO NOUN:,None,0,0
FPO-30030.pdf,99-06-1850010-42,CATALYST: ,None,0,0
FPO-30030.pdf,99-06-1850010-28,CATALYST:,None,0,0
FPO-30030.pdf,99-06-1850010-27,CATALYST:,None,0,0
FPO-30030.pdf,99-06-1850010-29,CATALYST:,None,0,0
PO-34352.pdf,99-98-9810010-01,8MP(4K) IR VARI-FOCAL BULLET NETWORK CAMERA 1 2 5 PROGRESSIVE SCAN CMOS 3840X2160 15FPS 2 8 TO 12MM,Delivery Challans PO # LPO 32090 and LPO 34352.txt,1,1
LPO-33094.pdf,99-07-1710015-04,"CHEMICAL,WATER TREATMENT:",144391.txt,1,1
LPO-33094.pdf,99-07-1710015-04,"CHEMICAL,WATER TREATMENT:",143695.txt,1,1
PO-35688.pdf,99-77-1000065-98,REFRIGERANT:,None,0,0
LPO-34060.pdf,99-98-9810010-01,FLAT HYDRAULIC CYLINDER WITH,None,0,0
LPO-34060.pdf,99-98-9810010-01,"HYDRAULIC CYLINDER, MAKE:",None,0,0
LPO-34222.pdf,99-76-1000004-13,"LIGHT,LED:",None,0,0
PO-32090.pdf,99-98-9810010-01,DB Electrical Size 290mm x 210mm x 100mm,None,0,0
PO-32090.pdf,99-98-9810010-01,"HikVision DS-2CD2683G0-IZS, 8 MP 4K IR Vari focal Bullet Network Camera 1 2 5 Progressive Scan CMOS 3840 X 2160 15fps 2 8 to 12 mm varifocal lens",None,0,0
PO-32090.pdf,99-98-9810010-17,UBNT Power Beam M5-400 25dBi Wireless Bridge,None,0,0
PO-32090.pdf,99-98-9810010-25,Complete Installation and commisioning of whole Project,None,0,0
PO-32090.pdf,99-98-9810010-01,HikVision DS-2DF8436IX-AEL(W) 4MP 36 Network IR Speed Dome 1 1 8 HD CMOS sensor Up to 2560  1440 resolution 36x Optical Zoom,None,0,0
PO-32090.pdf,99-98-9810010-01,"BlazerPRO 128 Ch,",None,0,0
PO-33833.pdf,99-33-2000016-09,"BELT,V:",None,0,0
PO-33833.pdf,99-33-2000016-38,"BELT,V:",None,0,0
PO-33833.pdf,99-33-2000022-40,"BELT,V:",None,0,0
PO-33833.pdf,99-33-2000022-15,"BELT,V:",None,0,0
LPO-35234.pdf,21-90-1000001-48,"RESERVOIR,INK:",None,0,0
LPO-35234.pdf,21-90-1000001-49,"CARTRIDGE,FONT:",None,0,0
FPO-31404.pdf,09-47-1001010-11,PIG:,Fatima 124791 Shp Docs Stamped.txt,1,1
FPO-31404.pdf,09-47-1001010-12,PIG:,Fatima 124791 Shp Docs Stamped.txt,1,1
FPO-31404.pdf,09-47-1001010-13,PIG:,Fatima 124791 Shp Docs Stamped.txt,1,1
FPO-31404.pdf,99-98-9810010-02,"METALLIC PIG RECEIVER, TRANSMITTER AND ANTENNA SET",Fatima 124791 Shp Docs Stamped.txt,1,1
LPO-35007.pdf,99-90-1300025-04,"CABLE,FIBER OPTIC:",None,0,0
PO-35045.pdf,07-42-1401025-06,SEAL:,None,0,0
PO-35045.pdf,07-42-1401111-13,BELLOWS:,None,0,0
PO-35045.pdf,06-56-2305410-24,BELLOWS:,None,0,0
PO-35045.pdf,06-56-2305410-25,BELLOWS:,None,0,0
PO-35045.pdf,06-56-2305410-26,BELLOWS:,None,0,0
PO-32436.pdf,99-98-9810010-01,BLANK SHIELD FOR HOUSEKEEPING,None,0,0
PO-34222.pdf,99-76-1000004-13,"LIGHT,LED:",None,0,0
PO-31999.pdf,99-98-9810010-25,MECHANICAL & CIVIL DESIGN OF PHOSPHORIC ACID STORAGE TANK AND FACILITIES,None,0,0
PO-35712.pdf,99-13-0002210-03,RESPIRATOR:,None,0,0
